content,labels,fold
//@张钧甯工作室:#口罩行动#防范疫情，从我做起，对自己负责也是对他人负责，愿大家平安健康，共克难关??,happy,0
#请陕西政府启动一级响应#,neural,0
不能好了伤疤忘了疼，再三再四的发生类似的事件。,sad,0
//@巴斯小板://@FROUBLE:关于是否要去医院就诊，大家可以看看这个： http://t.cn/A6Pb4Wop,neural,0
[泪][泪][泪][泪][泪]南宁出去的啊,sad,0
#超级传播者转移4次感染14人##全国确诊新型肺炎病例# ！！ ??,neural,0
#全国确诊新型肺炎病例# #山东启动一级响应# #全国确诊新型肺炎病例# 辟谣了辟谣了，那些开局几张图造谣带节奏的坏蛋蟑螂轮子看清楚，假的假的,angry,0
好温暖?,happy,0
在家待着，视频拜年吧，安全最重要啊[加油][加油][加油],happy,0
希望对山西人民负责！！！可以举报！！！！ http://t.cn/A6Pqa096,angry,0
//@全网第一种蔡大户://@AK47-MUAMUAMUA:#武汉加油# 一起加油！我们一定可以的！//@蔡徐坤:#武汉加油# 我们一起，打赢这场防御战！向战斗在一线的医护人员致敬！,happy,0
就夸你这一次[doge],happy,0
实名制是实名制！但不是每个人都有手机监听器和GPS定位啊！哪管得住人流攒动！公务员才多少个人，每人每天估计顶多追踪500个人行踪，人揪出来了没有医务人员和物资来监控可能疑似病例。就是一堆堆人接着互相交叉感染！人心惶惶的时候，自我隔离不见得是坏事！有明显征兆就往医院跑！自己心里有数！,angry,0
[给你小心心],happy,0
谁不是隔岸观火[拜拜]气得我肝疼,angry,0
希望接下来都是好消息！,happy,0
//@好看喔:医用酒精（75%浓度）+喷壶，喷垃圾袋里的口罩、喷钥匙、喷手机、喷外套、喷外面拎回来的袋子包包,neural,0
我只是去楼下菜站买个白菜 全副武装不说 老李发现售货员咳嗽了一声立刻出去了 回家命令我滴露擦全家 从里到外衣服消毒 喝板蓝根 拿高度白酒泡澡。。。 一切都弄完了 又对我进行思想教育 让我从思想深处重视 这几天不许外出了 希望这波疫情赶快过去 大家都平平安安的 ??,happy,0
微信-我的-钱包-城市服务里面有疫情督查可直接上报疫情防控线索 ??,neural,0
//@-akiraling-:大家都在拼命生活。 //@劝君更尽一江水：这是我最想看到的消息………………,happy,0
转发一下,neural,0
谢谢您一定保重身体[心][心][心],happy,0
内蒙别睡了！好歹也急一急啊[抓狂]！！！能不能学学人家河南，看看隔壁新疆！怎么还和没事人似的！整个省都下线了，我是活在两个世界么[跪了]#22个省区市已启动一级响应##全国确诊新型肺炎病例##内蒙古确诊首例新冠肺炎# ??,angry,0
//@于建嵘:武汉，加油！,happy,0
带节奏造谣死?,angry,0
看了，还可以,happy,0
//@叫你一声大魔王你敢应吗:可以，我们氪的金能有一部分用在这上面[good]夸你！今天叠纸一米八！今天暂时是伟岸叠纸！,happy,0
是的，许多年过去了，我仍然是个“五毛”??♀?几天来见识的成堆蠢逼坏逼烂逼无需多言，更让我坚信中国这样一个人口基数如此大的国家必然也必须一党专政。你们不满意，大可以来革命，如果有革命的本事。无论如何，在中国，坚决支持拥护中央集权！,angry,0
//@陆大鹏Hans:英语Quarantine也是的，词源为“四十”,neural,0
这评论精选的真好,happy,0
疫情貌似有些严重，已经不敢外出拜年了，在家静心泡泡茶，喝喝茶，看看书，思考一下未来的工作好了～#晒年味##武汉加油##冒个泡# http://t.cn/z8LuV7t ??西安·白桦林间,happy,0
【河南防控新型肺炎有多严格呢？网友：#我姥爷不要我了# [允悲]】,fear,0
正能量[给力][给力][给力]支援完重灾区，也辛苦多生产点给广西本地吧，太多武汉往广西跑了，当地人也需要[感冒],happy,0
#小庄新鲜事#一级响应的内容都有哪些？疫情当前，启动一级响应对把控新型冠状病毒感染的肺炎疫情传播都有哪些作用？via.新京报 ??,neural,0
！！！！！不愧是吾里最棒的CPLA[中國贊][中國贊][中國贊][中國贊][中國贊][中國贊][中國贊][中國贊][中國贊][中國贊],happy,0
[泪][泪][泪][蜡烛][蜡烛][蜡烛],sad,0
贡献了68,neural,0
[泪][泪][泪]谢谢谢谢谢谢,happy,0
#全国确诊新型肺炎病例# 武汉不是封了吗 为什么陆陆续续还有那么多人回来 且没有被隔离 打电话投诉 说不归他们管 应该归谁谁处理 都她妈什么时候了还在纠结谁该负责 十八线城市小城镇也需要你们呀！！ @央视新闻 @人民日报 ??,angry,0
?? ?? //@战羡兔紙:#武汉加油# [拳头]同在//@战羡兔紙:加油！我们一直在！[拳头]//@X玖少年团肖战DAYTOY:#武汉加油# 加油！我们一直都在！,happy,0
跪求陕西抄作业[微笑],sad,0
#中国??旅游# 那些平时戴有色眼镜看导游和领队这个职业的人们，请擦亮眼睛，导游和领队不是你想象中的那么坏，那么黑心，他们都具有满满的正能量和正义感，关键时候都能挺身而出！此时此刻疫情遍布全国，急缺口罩，我们一线带团的导游和领队，在海外各地积极募捐和采购口罩，帮忙背回国，援助大武汉！为一线的领队和导游点赞！[强][强][强]每个人工作性质不一样，一样的是，我们都是龙的传人！一方有难八方支援！！,happy,0
[心]//@你里瓷瓷呀:#武汉加油# 一起加油[拳头][拳头]//@蔡徐坤:#武汉加油# 我们一起，打赢这场防御战！向战斗在一线的医护人员致敬！,happy,0
[赞],happy,0
妈呀我一个在工厂待过几年的，听到那个机器声就ptsd，怕了那个环境[允悲]，大过年的真的辛苦了?//@CatchUp性别平等姐妹:#看见女性劳动者# 视频中可以看到，加班加点的生产口罩的工人们，基本都是女性。医护人员在前线与病毒战斗，工人在后方战斗保障物资，辛苦了！,fear,0
//@京城第一母老虎:总结：没有心脑肾肺等重要脏器疾病，在没有明显呼吸困难的情况下，单纯的发热、乏力、咳嗽、腹泻，推荐居家隔离治疗。不然跑到医院也没办法收治，还可能交叉感染。早期开始服用盐酸阿比多尔，每天三次，每次两片，加上莫西沙星，有可能有效。如果几天后无效，还是高烧不退，请去医院,neural,0
35//@小赞就是力量:#武汉加油# 加油[心]//@X玖少年团肖战DAYTOY:#武汉加油# 加油！我们一直都在！,happy,0
车站出行人很少，到是退票处排起了长队！如果没有取纸质票直接在网上退票就可以了，可是我从上海走的时候把回程的票一起取号了，万万没想到肺炎发展的这么严重！希望祖国平安，武汉加油? ??,happy,0
#陕西出现一名9岁新型肺炎病例##21日D3937次7号车厢乘客##1230人医疗队驰援武汉# 普及医学知识（急性鼻窦炎的临床表现）：局部疼痛和头痛急性鼻窦炎除发炎导致鼻部疼痛外常伴有较剧烈的头痛，这是由于窦腔黏膜肿胀和分泌物潴留压迫或分泌物排空后负压引发，刺激三叉神经末梢而引起。急性鼻窦炎疼痛有其时间和部位的规律性。前组鼻窦接近头颅表面，其头痛多在前额、内眦及面颊部，后组鼻窦在头颅深处，其头痛多在头顶部、后枕部。急性上颌窦炎：常前额部、面颊部或上列磨牙痛，晨起轻，午后重。,neural,0
可以的,happy,0
众志成城，共渡难关。与@UNIQ-王一博 #正能量艺人王一博# 共抗疫情,happy,0
螺蛳粉给热干面加油 武汉加油！ 我大广西顶你啊[中国赞][中国赞][中国赞],happy,0
【新年第一天】栾川城管：有一种过年方式叫“我在岗”,neural,0
#腾讯新闻# 美媒认为新型肺炎疫情对市场影响短暂http://t.cn/A6PqXHJL# 来自@腾讯新闻 ??,neural,0
#新型冠状病毒感染的肺炎疫情#重庆很多地方都买不到口罩了 相关人员不做好准备吗 重庆感染的也不少吧 希望管制制度能加强吧 很多乡镇这些防范意思也不强 望政府加以重视@重庆市政府网 ??,angry,0
已捐,neural,0
武汉政府虽然傻逼，但中央也没放任他继续傻逼下去//@辣笔不知画:千言万语，相信国家，相信专家，加油 [心][心][心],happy,0
大年初一，祝大家身体健康，精精神神，百毒不侵！粤听移动应急电台24小时追踪疫情最新进展[心]#陕西出现一名9岁新型肺炎病例# ??,happy,0
平安归来[拳头],happy,0
河北广电网络集团在当前疫情防控期推出惠民措施：1、有线电视免费看。可收看国家总台、河北台、本市台及各省卫视等95个频道。免费期暂定从农历大年三十至正月十五。2、不定时在全频道通过屏幕游走字幕，按有关部门要求播发实时信息。部分实现电视县、乡、村（社区）的用户，还可收看实时区域信息，全省10000多个村庄（社区）大喇叭可以实现情况随时播发。河北广电网络敬告全省用户：如您家中不能正常使用广电机顶盒，可致电96888获得即时服务指导；如需上门服务，可以致电96888预约免费安装。,neural,0
钟南山院士保重身体啊,happy,0
拉倒吧快[汗]根本不听,angry,0
武汉加油！挺住！我们在！[心],happy,0
//@临风少主://@·FEIFEI·:他真的很好[拳头] http://t.cn/A6PGdmBk //@Ww解解-:弟弟真的很通透，不仅说，也在做。考虑到武汉等地区物资运输的实效性和安全性。弟弟在18岁成立的焕蓝梦想公益基金希望可以更加有效地为当地医院提供帮助，向武汉市慈善总会进行捐款20万元，所有的善款由慈善总会统一调配,happy,0
#逸起公益# 武汉加油↖(ω)↗,happy,0
【当警察遇上医生，他们这样说……】#全国确诊新型肺炎病例# 过年是团聚的日子，但总有一些人，为了更多的家庭团聚，牺牲了自己的时间。当这些人组成家庭，常年聚少离多，他们之间是否会有埋怨？几位家属是医护工作者的民警，他们这样说…#陕西出现9岁新型肺炎感染者# http://t.cn/A6Py2xLe ??,neural,0
良心企业家，注意健康和休息[心][心][心],happy,0
不管是客户端，还是微信的小程序，还是微信的城市服务，所有东西都无法实名认证，我怎么留言。？,angry,0
就是就是！@陕西发布 说你呢！//@雎晓雯:陕西什么时候启动一级响应？,angry,0
?[悲伤],sad,0
[心]//@鹿晗姐姐团:#鹿晗[超话]# 众志成城，共克时艰，让我们一起加油[加油][加油][加油] http://t.cn/A6PqM2vb @M鹿M,happy,0
不造谣，不传谣，从你我做起,happy,0
#陕西出现一名9岁新型肺炎病例#[泪][泪][泪][泪] ??,sad,0
现在才知道肺炎有多恐怖，这里应该是最安全的地方了，每天两次量体温，消毒。 ??,fear,0
浙江的医护人员们一定要全部早日平安回来,happy,0
今年春节计划：初一一动不动；初二按兵不动；初三纹丝不动；初四岿然不动；初五依然不动；初六原地不动；初七继续不动；几时能动？钟南山说动才动！，我终于可以为国家做“贡献”的时候了[捂脸][捂脸][捂脸]没办法啊，形势所迫啊 ??,sad,0
辟谣，n.0,neural,0
像我们云南这种小穷地方就别来了吧！医疗条件也跟不上，无语了,angry,0
我们一起加油！,happy,0
#陕西出现一名9岁新型肺炎病例#年过了！再过几天从外边回来的又要出去打工了，有的意识还不够强烈，怎么劝说都不听。那能不能联合个地方疫情没有好之前，不要售卖各种车票高铁票火车票飞机票等等不然感染的还会更多啊 ??,angry,0
真的怕了，绝对不出门拜年了。。 所以陕西什么时候一级响应呢？,fear,0
『坚决做好疫情防控工作 | 致介休人民的倡议书』http://t.cn/A6PqSPdv ??,neural,0
好棒[泪],happy,0
#武汉加油#,happy,0
秘籍,neural,0
《天风证券向武汉捐款500万元，持续筹集物资驰援医疗一线》楚天都市报1月25日讯今日，天风证券股份有限公司向武汉市慈善总会捐赠现金500万元，助力抗击新型冠状病毒引发的肺炎疫情。http://t.cn/A6PqohFQ ??,neural,0
快重视一下农村吧[跪了],fear,0
冷处理 不让说 然后一声不吭把那么多大学生放回到全国各地 许久没回家的女儿儿子们满心欢喜回到爸爸妈妈的怀抱 开开心心和很久没见的朋友们见面 这本该多么开心 但最难受的就是 不知道自己患病或可能携带病毒 在自己不知情的情况下传给自己最亲最近的人 那该有多么难受多么内疚啊[跪了] whzf真的没有心,sad,0
#陕西出现一名9岁新型肺炎病例#刚刚看一个评论笑死了，说陕西政府在等秦始皇下旨。[允悲] ??,happy,0
84歲的抗毒勇將---钟南山，广州医科大学呼吸内科教授，博士生导师，973首席科学家，中国工程院院士，中华医学会前会长、顾问。爱丁堡大学荣誉教授，伯明翰大学科学博士（Doctor of Science）、英国皇家内科学会高级会员（爱丁堡、伦敦），首届“港大百周年杰出学者”。曾任广州呼吸疾病研究所所长、呼吸疾病国家重点实验室主任、现任国家呼吸系统疾病临床医学研究中心主任。此次新冠肺炎疫情爆发后，钟南山临危受命，出任国家卫健委高级别专家组组长。,neural,0
//@一碗糊萝卜:武汉会好起来的，大家一定要保护好自己呀！,happy,0
武汉加油！和热巴姐姐一起做公益！,happy,0
#大年初一#今天是年初一，朋友圈里满是冠状病毒的相关，妈妈给所有的亲戚打了电话，说今年就不拜年了，为了自己也为了别人[爱你][爱你]希望武汉可以挺过去，希望大家都平安[爱你][爱你] ??,happy,0
解放军来了，放心吧！,happy,0
//@易烊千玺de小红鞋:好棒[good][good],happy,0
我爱旺旺//@旺仔俱乐部:身体旺旺！大团结一定赢！??,happy,0
//@喂那谁鲸味粥好吃么://@月下上舞Wendy:太辛苦了,happy,0
哈哈哈哈,happy,0
愿万物复苏，在春天来临之前。,happy,0
祸国殃民f4//@程ZHEC:物资充足王省长，摆拍慰问蒋书记，万家宴会周市长，查无此人马书记。湖北F4，滚你妈了隔壁，你们是个什么玩意，学学17年前临危受命王副主席，学学隔壁河南省尹弘省长，刚担任半个月各项措施落实[微笑],angry,0
[悲伤],sad,0
这个病绝对是个持久战，中国这两年还真是命途多舛啊，又是香港又是疫情，太难了。（来吧让朕回去镇国安邦[并不简单] http://t.cn/RU1U89o ??德国·德累斯顿,sad,0
国士无双！,happy,0
躺平任嘲,angry,0
这样的消息希望每天都有[心],happy,0
武汉加油,happy,0
//@周鱼:大门一关，被窝一钻，喝喝小酒，一醉一天，疫情一过，再去狂欢，利人利已，互不传染。[作揖],happy,0
//@姬十三://@果壳://@丁香园: 2019-nCoV 感染者未见有明显的上呼吸道唿吸道体征和症状(如鼻溢、打喷嚏或喉咙痛) ，这表明目标细胞可能位于下呼吸道。 此外，2019-nCoV 患者很少出现肠道体征和症状(例如腹泻)，目前的防护策略强烈建议按空气传播的预防措施，推,neural,0
！！！！//@梨寒:D3937次动车7号车厢，21号共有57名乘客在文山境内下车，请在文山下车的各位乘客主动与所在县（市）疾病预防控制中心联系。,neural,0
//@一锅爆炸的玄哥:细品之下觉得上面贼特么生气[跪了],angry,0
@IMPRESSION__ [怒]//@sven_shi:所以这些人之后一定会被处理，永远被钉在耻辱柱上面。//@专业戳轮胎熊律师:Sars过后还能有这种执政思维……这案例是一本全国的官场教科书。,angry,0
#新型冠状病毒# 【请记住他们！为了市民的健康，他们的年夜饭只能吃盒饭】东莞抗击新型冠状病毒肺炎专家张平17年前阻击非典 披甲再上一线。http://t.cn/A6Pqicki ??,happy,0
我的好大哥[作揖][作揖],happy,0
????加油,happy,0
233333//@独影随行-馨:里面有允贤教大家如何正确戴口罩hhhhhhhh,happy,0
#临时休假公告#因近期疫情比较严重，为了家里小伙伴和朋友们的安全考虑，经家里商议决定，今天营业时间调整为12:00-19:00还请大家见谅～！ ??,neural,0
广西给力[赞][赞][赞],happy,0
[泪][泪][泪],sad,0
#新型冠状病毒# 衷心的向奋战在一线救助病患的医生、护士们致敬！向奔赴前线支援的解放军致敬！ ??,happy,0
春晚  佟丽娅好美 天呐！[绿丝带][绿丝带][绿丝带][绿丝带]全国确诊新型肺炎病例佟丽娅是真的美……这发量[跪了] ? ??,happy,0
//@花泽美美:害了多少无辜的人//@高冷病患:本次事件梳理得详细又清晰。//@小羊爱吃酱肘子: 我只想说一句话，在已经有实锤在手的情况下，只是因为“害怕引起恐慌”就利用手里的权力去到处堵嘴而不是及时通报的那一撮人，你们害了整个中国,angry,0
#全国确诊新型肺炎病例# 请K1366次从武汉经停长治、大同的列车，4号车厢的乘客自觉登记并观察自己，其余车厢也重视起来,neural,0
？？？这是那个跑了四个区不愿意隔离的？？？吃牢饭去吧吃你?团圆饭//@Mr_Ace_98:她跑出来的时候还没有大幅通报疫情，好，这个不怪她。现在发这个新闻是想干嘛？要武汉病患全跑上海？这什么垃圾记着垃圾文章？//@我不是你的菜_菜菜:别发了别发了他们都要过来开小灶了求求了[泪] 上海人的命也是命！,angry,0
//@陸陸叁-:祝平安[心],happy,0
???佑我中国,happy,0
新年最大心愿就是家人平安。告诫自己多听沉着理性的声音。,happy,0
希望多一些个体的声音和形象，多一些日常的、多数的,happy,0
为武汉病毒肺炎免费祈福,happy,0
[心],happy,0
@微博同城 汇总了部分谣言制作了新鲜事【新型冠状病毒肺炎辟谣播报 】http://t.cn/A6PqXK3i ??,neural,0
//@星光不负沙雕人:与此同时，所有已购票的观众，可通过官方购票平台全额退票，亦可选择保留资格，在确定演唱会调整时间之后兑换同等票价的座位，相关详情可洽询猫眼及大麦平台客服。,neural,0
回复@小小寻yy:防护措施做好，我们一起加油#aki猫咪#//@小小寻yy:病毒并不可怕，我们要勇敢面对，做讲卫生的乖宝宝[太开心]#aki猫咪# http://t.cn/A6Pv4f6a //@aki猫咪:加油武汉 ?? 中国加油?? 我们一起渡过这最困难的日子??,happy,0
《【新型冠状病毒科普知识】关于新型冠状病毒感染的肺炎，想知道的看过来（三）》有事搜一搜，没事看一看http://t.cn/A6PGro5s ??,neural,0
多说无益，加油,happy,0
我呵呵//@全面不发展的大羊://@chiakiraya:记住了[拜拜]//@stellayone:澳大利亚森林大火，台当局捐赠10万副N95口罩；大陆疫情蔓延，台当局禁止口罩出口一个月[太开心]这样的贱畜不梧桐等啥呢[太开心],angry,0
上海领导真的跟傻逼一样都他妈惯出来的//@SHENHUA_DB9:不在武汉治疗，把病毒带到上海，上海把你当祖宗伺候，换来一句“吃不惯上海菜”，你怎么不去死？,angry,0
『居家治疗攻略丨疑似感染新冠病毒，自我隔离四天好转，同济医院周医生怎么做到的』http://t.cn/A6PbztBC ??,neural,0
好的[拳头][拳头][拳头][拳头][拳头],happy,0
愿平安！,happy,0
[话筒]//@Huenno:这个视频很真实很有意义，有充分的解释，也给人信心,happy,0
【新型冠状病毒科普知识】为你精心准备春节安全出行小贴士，请查收！http://t.cn/A6PGkgvi ??,neural,0
