content,labels,type
事实……我也害怕也有恐惧担心……因为见过太多婚姻中的家庭那种委屈看着都怕了,fear,usual
外日看日剧一不小心看到这个点了legalhigh真的好好看啊三观好正啊本来从小就向往律师这个职业的我真的好喜欢这个剧啊而且女主角是gakki啊啊啊啊萌哭我好想在她犯傻的时候摸摸她的头,happy,usual
韩国漫画，妻子的记忆，结尾让人流泪。,sad,usual
太忙的一天体育课选了个跆拳道韧带拉的宝宝快炸了英语听说老师全程英语快递一下来五个宝宝快累死,angry,usual
能帮助麦当娜把她心中的电影拍摄出来，其实也是件很好的事情。,happy,usual
儿子生意不景气，工作不顺心受气，刚刚听他说这些的时候真的挺上火的，尤其是工作上受气，等我以后有能力了我要让那些让他受气的人吃不了兜着走,angry,usual
为什么既不来找我，也不和我分手,angry,usual
总会有不想追逐的时候，总会有不被理解的时候，总会有委屈辛酸的时候。,sad,usual
3.分泌物较多且创面较深时，宜用生理盐水冲洗，如坏死组织较多，可用攸锁或其他消毒溶液冲洗。,neural,usual
"  .co域名..co是国家顶级域名（ccTLD），国际通用，是英文""Corporation、Company""（商业公司）的缩写，含义明确、简单易记，方便公众理解。",neural,usual
继杨爱瑾与傅颖之后，现Cookies四位成员均已离开金牌大风。,neural,usual
清晨醒来，发现外面下着雨感觉好有诗意,happy,usual
我好像没有原来帅了可才过了8个月啊！！🍺,sad,usual
願2015餘下的日子里，美好能夠多一些，快樂能夠如影隨形…Goodmorning!,happy,usual
20世纪90年代以来，一些发达国家和地区的服务贸易已超过一般商品贸易。,neural,usual
很多失败不是因为能力有限，而是因为没有坚持到底。,happy,usual
算了一算，鲜艳，摸哥，曾老她们现在又在教高三了好快啊！,happy,usual
总有一天，你会遇到一个绚丽的人，让你觉得其他人都是浮云。,happy,usual
详情学校成立于2009年，是市政府十大民生工程之一。,neural,usual
公司年会礼品十分土豪，全是进口高科技电子产品，还有1-2万现金奖，我全程都是这个,happy,usual
我老爹23岁还长个了，然而姜胜允17岁进yg后就没怎么长个,sad,usual
走着走着，终于明白……走着走着，我醒了，不再对所有人好，谁对我好我就对谁好。走着走着，我知道了，日久不一定生情，但一定能够见人心。走着走着，我明白了，没有谁会像父母一样一直包容并原谅你。走着走着，我害怕了，因为年龄越大、离开我的亲人就越多。生命无常。走着走着，我畏惧了...全文,fear,usual
睡一宿觉醒来一看，莫名其妙的嘴肿了,angry,usual
没有机会做大事的人，是因为没有通过做好小事来证明自己的实力。放在越不起眼的地方，越要主动发光。在别人不敢委以重任之前，把小事做到极致，来证明你的实力。——可惜大多数人永远都想不明白这个道理，怨天尤人者居多，有的似乎明白了，又不去实践，所谓蹉跎岁月，想必就是如此。,happy,usual
哇塞买了回国机票！！！02.9-02.23,happy,usual
今天这工作效率，晚上又要熬夜了。。。,sad,usual
乌鲁木齐铁路局地处西北边陲的多民族地区。,neural,usual
难道卷刘海这种事就只能靠运气了吗,surprise,usual
一回来就遭宰，前三盘就遭了5个五翻了，今年不打牌了妈的,angry,usual
以前他为了让我做他女朋友，他什么手段都会用，不让别人靠近我，现在，别人想靠近了，他却无所谓。他的心里到底是怎么想的，你的话实在让我太心寒了你知不知道,angry,usual
心情超不爽的～不知道谁装不记得还是真不记得了～,angry,usual
想骂火箭打得跟翔一样，算了还是不侮辱翔了…,angry,usual
：彼此互相推委，皆弃之不收，反遗之以与金人用。,neural,usual
突然觉得世界好大，可是却没有我的容身之地。,sad,usual
果实性状：总苞中型，刺束中密较硬。,neural,usual
一晚上不晓得被蚊子咬了多少次，手上，脚上，脸上，都有它留下的痕迹,angry,usual
瑞昌市立即成立联合调查组，初步调查认为高奉青行为涉嫌诈骗，其外逃原因或为躲避债务。,neural,usual
在这风中凌乱了一下午，临睡时却思绪万千，海拔四千多都上去了，怎么就过不去心里那道坎呢这次你还是不在,sad,usual
那些苦难的日子，是谁陪着你？对不起,sad,usual
靠他大爷，干啥都不能干的丽丽亮亮的。,angry,usual
啊哈，第一次发面蒸包子～居然成功了～,happy,usual
一座让我既向往又害怕，既激动又畏惧的城市。不主动向前走就是被动挨宰|天津·天津...,sad,usual
#春娇与志明#感觉…张志明好像…是个渣男🌚,angry,usual
非常清楚无论在哪里都没有公平而言，但是在我看来就是非常严肃的事儿，但是一直都是一个非常骄傲的人，凭什么接受这样的结果，别把别人当傻子，只想孕妇赶紧给我报销，土都吃不起了！！,angry,usual
总人口4300人.2006年村民人均收入4500元。,neural,usual
选择、犹豫、决定、徘徊和不安定的心合在一起组成的生活。无数次坚定又无数次变化。什么时候才能真真切切知道自己想要啥呢呢呢也许对过一次之后又也许错过一万次之后还是回头好好刷题吧,sad,usual
捡了一点红叶，次日变的不那么艳丽啦！南方城市中仿佛少了秋季，看到这红叶我很开心。正好家里还剩几个橘子合个影吧,happy,usual
我们农民工讨薪真难啊！我们在中铁等了四天了啊,angry,usual
但同时新桂系还通过贩卖鸦片来增加收入。,neural,usual
有时候觉得自己坚强到无所不能，然而夜深人静的时候所有软肋才会突显出来，似乎读懂了那一句，陪伴是最长情的告白。其实都明白，战战兢兢的原因只是因为，我们没有把握的未来。延安·宝塔区,sad,usual
这的确是个好消息赶紧告诉我的好朋友去,happy,usual
感谢天感谢地感谢自己！刚刚正好赶上车感觉一天都开心了啦啦啦~,happy,usual
上个班不容易啊，一天检查，检查，检查。对你们就那么重要。非要把你们所谓工作好的换到一起来迎检，我的工作就那么让你肯定吗？真闹心的工作。这万一哪个环节出问题。就变成罪人了。压力山大啊真的累啊。身体累就算了心更累。还让人活不活。这样下去真TMD要被整疯。,angry,usual
天猫盒子自说自话把我下的直播APP和VST还有沙发管家这些全删了强盗啊麻痹盒子还能强制删除的一刚哈尼心,angry,usual
哥俩17岁了，很开心，要永远在一起哦,happy,usual
大早晨起来开批斗大会也是够了，让我整天都不好了……,angry,usual
还什么韩国最新Ap，还最稳定完全不给力,angry,usual
不知道在别人眼里的我如何总之我是能被吓哭的人嘻嘻,happy,usual
我果然是乖巧贤惠懂事的好姑娘给爷爷奶奶织围巾的我简直可爱极了,happy,usual
据说今天是感恩节，感恩自己，抓紧时间起床喽，愿能享受一顿美美的早餐，早安,happy,usual
一个二个像他妈打了鸡血的一样七八点钟就开始东整西整老子不晓得起浪个早赶到去投胎是不是和你们待在一起都要少活好多年细胞都不晓得要死好几亿不晓得上辈子是做了浪个恶事让我遇到你们这堆人,angry,usual
就是睡不着，看到不该看的！哎，这让姐儿肿么安眠。。。{恶心呕吐发毛讨厌---蝙蝠},angry,usual
抵制诱惑，认真养成好习惯#早睡打卡#,happy,usual
函数接受的参数除了快慢等，还可以接收整型，作为渐入或淡出的完成时间，单位为ms。,neural,usual
两年前的跑步机上，现在感觉长时间跑步我的半月板受挫,neural,usual
曾经相隔一间隙，如今仿佛两世界。情商低一定不是答案，过分敏感以至于将自己包裹起来，恩，大抵是这样。改变即刻开始，每一次从空到满，再倒空，这都应是成长的过程。,happy,usual
至少努力努力过了😔😔😔😔😔还是那样的不如意,angry,usual
下午去办新号，被客户经理放了鸽子，楼下等了十五分钟连个影子都没见，打电话不接也不回，气呼呼的回到办公室，因为完全无法理解。——一个小时后，客户经理打来电话，听完原因，还是一肚子火，但是想到人家也不是故意的，竟然也发不出来脾气，只能喝杯甜的安慰一下自己,angry,usual
真是火大做了一遍乱码白做重做又乱码破系统能不能不闹,angry,usual
每次安检都被摸个遍你看你是女的我就没脾气是吧,angry,usual
《史记·吕太后本纪》：“太傅产、丞相平等言，武信侯吕禄上侯，位次第一，请立为赵王。,neural,usual
像你那样不理世俗活着挺好，我向你学习，得高冷。,happy,usual
我的主号莫名其妙被锁定了，强制要我绑定手机号，我没有手机号可用了，不要就不要了，微博药丸。,angry,usual
天天這呼嚕聲我也是醉了我要睡覺！！！！！！！！！！氣了想給我桌子從床上扔下去！！！！！！！,angry,usual
一个月的工资都不够我花，真是日了🐩了,angry,usual
重庆市火车站南广场对残疾人服务态度太差了！,angry,usual
还真是人一倒霉，喝凉水都塞牙。车[小汽车]电瓶坏了，打不着火也就算了，打个出租车[出租车]让他来接我，结果自己撞杆儿上了，水箱还给撞漏了…然后我还淋了雨。。。这一路战战兢兢的，我也是醉了…[流汗][流汗][流汗]不过最担心的还是那司机，毕竟这大半夜的还下着雨上哪儿修车啊。。。#晚安，自己##晚安心语...全文,sad,usual
是不是我一直都不会出现在你的朋友圈里,sad,usual
就不能给点安静的空间，做人就不能知足么，整天比来比去的有意思么……靠，烦躁！不爽掐死得了,angry,usual
断奶之后睡觉可真香，但是居然一个星期吃了一罐奶粉,surprise,usual
旧历啧啧啧愿望就是吃好睡饱身边人好,happy,usual
请北京机场的保安008276出来道歉，你们保安这么没素质吗，请道歉,angry,usual
结业于中国书法家协会书法培训中心书法研修班。,neural,usual
已养成随手截图的好习惯，胖杉的鱼塘#赵丽颖#,neural,usual
看喜剧总是能让人一身轻松、忘掉烦恼,happy,usual
在学校的日子里是初中生最难熬的生活,sad,usual
如此心塞的一晚…每天瞎折腾，也不知道折腾点啥最近做的东西也不少，却没一点成就感,sad,usual
"有些人、才遇见了那么一下子：就好像认识了很久似的。什么事都想和他说。Somepeople,Imetsosuddenly,asiftoknowalongtimelike,whatdowantandhesaid.",neural,usual
只有最后一个比较吓人。最后一个好凶恶，吓死了,fear,usual
小时候，家里穷，希望能有一件自己的玩具，现在也是。,sad,usual
又干了一件蠢事儿，没确定问清楚货，就跑过去验货，结果人家货还在工厂，我去，被自己蠢哭了,sad,usual
1.独特的课程架构：贯穿此课程的90%是通过肢体动作来演绎，而只有10%通过文字来解说，是目前在培训界文字较少的课程之一。,neural,usual
新火车站、新胜利大街将几百亿元资金埋在地下，新火车站与新胜利南街的规划建设注定这里区域价值必定呈飞速上升趋势，区域发展潜力不言而喻。,neural,usual
80年代初，一系列话剧如《车站》、《野人》、《WM》、《一个死者对生者的访问》等的出现，形成了探索剧的潮流。,neural,usual
#微博摄影大赛#宝贝儿们棒棒哒，爱你们❤️,happy,usual
坐在我旁边的两只耗子一直不停的制造噪音，我冷冷的盯着这两只死耗子，你不让我好好看书，我也不让你好好看书。,angry,usual
老公MV出来了为什么要和别人亲嘴,angry,usual
《花千骨》里赵丽颖为白子画取血做药引，《云中歌》里赵丽颖为刘弗陵取血做药引。赵丽颖的血是万能的吗？,surprise,usual
所以不是沉鱼落雁闭月羞花。你怎么还不来。,sad,usual
得罪几个人，做糟糕几件事，其实没那么可怕。一辈子活得委曲求全，战战兢兢，才最可怕。石家庄·新百广场（商...,neural,usual
可怕[骷髅]只想知道整容后还能活多久[惊恐],fear,usual
幸福其实是种感觉。就像一盏烛光，当你穿行在万家灯火，总有暖暖的萤光照亮你回家的路；像一抹回味萦绕在心际，甜酸苦辣都是曾经的追逐；就像一份渴望，当憧憬岁月的皱纹爬满额头，仍坦然欣喜无愧无悔。幸福是一杯想象，梦想着把平凡的谷米酝酿成美酒的芬芳，然后用生命守候与珍藏,happy,usual
跌跌撞撞磕磕碰碰這兒疼那兒酸渾身是傷尼瑪崩潰想哭....,sad,usual
水涨船高shuǐzhǎngchuángāo：水位升高，船身也随之浮起。,neural,usual
享誉全球的性自助指导大师贝蒂·道森一直致力于性解放运动，提供了许多实际的好点子，以供男女改进其性技巧，共享彼此高潮。,happy,usual
妈个鸡晒个被子收回来的时候上面全是烟灰,angry,usual
期中考试，全年级流水改卷子，我正好改字的笔顺那一条题目，眼睛已瞎,sad,usual
最近穷的话费都充不起了。还怎么过日子…,sad,usual
死之并不可怕，但是死亡的过程实在太恐怖了，好似人间地狱之间的渄洄。新乡·牧野区,fear,usual
事后还是有点心有余悸，安全第一吧！,fear,usual
李花英！！！李花英！！！姐看了这么多年韩剧，都没见过这么无耻卑鄙的女二号，穷凶恶极、集天下之大恶于一身的角色。姐一直很理智的看剧，看了杜鹃之巢真的102集挨着骂过去的！,angry,usual
当我知道第一时的喜悦当我想拥抱你们时的兴奋当我看到身在北京的男神对我说加油时的幸福当我回忆过去奋斗的艰辛与苦累时的淡定当我发现词乏无法描述自己的心情我真切地感受到你们于我是无上的荣耀真想紧紧抱着你们狠狠亲一口,happy,usual
我想买件羽绒服，因为没钱双十一一分没花，心心念念着！刚大学毕业工作各种艰难各种没钱，生存边挣扎,sad,usual
此外，由于涤纶大分子也能形成伸直链结晶（原纤化结晶）。,neural,usual
校门高7.6米，宽22.36米。,neural,usual
沙僧啊……把吃过的人头骨串起来当珠子戴着……感觉又是一个恐怖片好题材[惊恐],fear,usual
我的听力还没听完，室友就开始打鼾了，姑娘，咱这可是女生宿舍啊,surprise,usual
原本打算画元素拟的，后来变成了物态拟，然后大家都来玩物态拟了…………我我我好惊讶！！,surprise,usual
没有带鼠标的一天简直跟断了手一样难受！！,angry,usual
我只是想试玩一下RP，谁知道既然中了，得意了几天，可是刚刚一盆冷水突如其来,surprise,usual
  扫选浮选机是矿用浮选机的一种设备，该设备广泛应用于铜、铅、锌、镍、钼等有色金属，黑色金属和非金属矿物的粗选、精选和反浮选作业。,neural,usual
做出客观公正的审计结论，防止审计风险的产生。,neural,usual
最怕脑残志坚的人，气地想撞墙，饭都吃不下，外面这么冷我气的要喷火了，牙都要咬碎了,angry,usual
心情更加不美丽，破不了纪录！某人还，哼哼！,angry,usual
怎么就那么不喜欢乐视直播的解说，，，给自己牛逼完了，说的一套一套的，好像自己要是本场的主帅这场球稳赢似的，太可气了，，，,angry,usual
别不好意思拒绝别人，因为那些好意思难为你的人，都不是什么好人。,angry,usual
这才几点就起来复习，看看看，才几点,angry,usual
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈~,happy,usual
缠绵游戏过后为何能舍得放手.....是定律或是爱不够？,sad,usual
大雨天，只想戴着JustinBieber去健身房🏃，现实却是拎着一堆图纸去上班,angry,usual
被初中同学拉进群，我能说除了三五人，我几乎都不认识了么？！,surprise,usual
真是恶心到爆了，不就一个6s么，搞得人家都没钱买的样子，炫给谁看啊，用还没用熟呢，还装，求别再跟我说了，我真的骂人了,angry,usual
虽然还是没想通看开那件事，不过我决定翻篇了。如果再有，可能…………晚安。,sad,usual
特么的，谁盗我微博，真是日了动物园了！,angry,usual
臭老鼠子，再破坏我的一点红我跟你们拼命小红不要死啊,angry,usual
2002年6月下旬，当三年期限结束的时候，她赴山东大学进行学位答辩，论文题目就是《诗歌翻译的韵律问题》。,neural,usual
2.设备轻巧，操作简单，安全可靠，免除高压危险。,neural,usual
昨天晚上我被热醒了二次没错不是冷醒是热醒我过的是哪门子的冬天,angry,usual
早上吼~白云蓝天~今天的心情是美美哒~,happy,usual
十一点开始售票，为什么现在放这么少的票呢,angry,usual
这张画今天拍卖了7000多万美元！！！,surprise,usual
数学不好是硬伤啊！伤……顺便：该花的钱一定不要攒，没球用，都是给别人攒的,angry,usual
乃木坂太郎的漫画(真)的可怕，对人性的刻画恐怖又真实。,neural,usual
昨天下着小雨，加上我很困，心情也没有多好，就酱，我又碰到了你，什么叫眉眼之间都是笑意，那就是我看见你之后的微笑啊,happy,usual
贵友臭导购真尼玛狗怂卧槽真想擂她一大掌,angry,usual
(Macross7、第47话)02月，Sivil因Basara生死不明而逆袭Geperuniti，使得Geperuniti本体觉醒，自身也被重新封印。,neural,usual
知道今天是女神的课，故一下班就了出去。尽管上班压力颇多，但只要看到女神潇洒的步伐，觉得一切又是那么美好,happy,usual
半夜被宾馆隔壁啪啪啪吵醒…让不让人睡了,angry,usual
1998年毕业于重庆医科大学医疗系，2001年获重庆医科大学妇产科硕士学位，发表论文数篇，对分娩发动的机理和早产的防治有较深入的研究。,neural,usual
D13，一晚上饿得翻来覆去的，不舒服不好受眼睛好困可肚子饿到快飞起来,angry,usual
我们花了两年学会说话；却要花上六十年来学会闭嘴……大多数时候、我们说得越多；彼此的距离却越远、矛盾也越多……,sad,usual
觉来正是平阶雨，独背寒灯枕手眠。,neural,usual
有没有哪块还有厦门老房子的那种感觉的地方啊！最好是那种木窗，花地砖那种感觉的！拍照摄影录视频用！急求！,neural,usual
每次等这破公交都差一点点。今天真的是都快要赶上了，车还开走了，有时候对司机真的是无语的，想想真是火大,angry,usual
忙着赶在1120之前把事情做完，之后才能愉快玩耍，开心的是终于又可以同一时区说晚安了～大王骨奶～～,happy,usual
如果黑色代表著冷酷、神祕、恐懼、顯瘦。那麼透明又代表著什麼？想著一個人的顏色又是什麼？,sad,usual
世间许多事都是经不起推敲的，逃不了灰飞烟灭，但为了生存或者成就自我，你得去做，沉下心去做，做好当下手中的一针一线。不积跬步，无以至千里。虽踽踽前行，颤颤巍巍，前路漫漫，但除了前进，别无他法。后退不得啊。停滞不得啊。,happy,usual
烦烦烦，与死亡擦肩而过的人，如果还不能从自身去意识到问题所在，那这个代价实在是太大了，一条人命啊~~,angry,usual
吼吼吼~下雪咯~前后各贴个暖宝宝走路上学来打雪仗哈哈哈不要太拼。就酱~下雪粗卡~撒花~,happy,usual
和一个人在一起如果他给你的能量是让你每天都能高高兴兴起床每夜都能安心入睡做每一件事都充满了动力对未来满怀期待那你就没有爱错人真正的感情永远不是以爱的名义互相折磨而是彼此陪伴成为对方的阳光,happy,usual
卡泰米是由1980年从他处搬到廖内省杜迈·泰米尔分区巴基特·巴特里姆村居住，但其邻居表示，打那以后老太太的模样似乎就一直未见什么变化。,neural,usual
学会拒绝学会拒绝学会拒绝重要的事情要说三遍！！！,angry,usual
我说怎么今天这么没精神，原来是感冒了，眼睛睁不开，还一直流鼻涕打喷嚏，根本没办法集中精力，我可不可以再休息一天,sad,usual
你们既然放甄嬛传为何要把当中那么多片段给切了。要放就好好放嘛。你们把这么多片段切了。。还有什么意思啊。@山东卫视,angry,usual
十点半一过，今天说过的话都不算数。,neural,usual
蹦沙卡拉卡，蹦沙卡拉卡，好吧，累了,sad,usual
CIS电池年产1.5MW，其成本是晶体硅太阳电池的1/2～1/3，能量偿还时间在一年之内，远远低于晶体硅太阳电池。,neural,usual
看看蓝天，雪山，黄叶，瞬间觉得生活美好了！,happy,usual
一些陨石的结构中也显示出有些小行星也发生过分化的作用。,neural,usual
有点小恐怖，不知不觉今年已经买了这么多东西了,fear,usual
办公室就三个人，同事在看股票，也没干别的。我就想发个邮件，狗日的居然发不出去。我偷偷看了一眼领导，唉，我该如何委婉的提醒他别下东西了,angry,usual
一到睡觉时间就痛苦，长期失眠的我快要疯了！有何药可治？？？,angry,usual
在以后的发展中我们会根据市场需求人民的需要添加相应的版块。,neural,usual
付一雄，你在上我微博，我就跟你急,angry,usual
画不好，好烦，真的不开心！！手绘头像真心画不好,sad,usual
为我们生活在河南的考生没有猝死应该感到万幸,sad,usual
我不知道未来有多远但我知道从现在的每天开始要把自己的工作做好什么都不要怕大步往前走就好了今天乔振宇还是帅帅的，哈哈哈哈自己犯傻还把导演认错了，太丢脸了哎下次要注意了不能再犯这种事了哈哈哈哈哈嘎嘛的！,happy,usual
氧气一哥快手达人二驴今天在夜店户外直播，竟然公开亲学生妹。。,surprise,usual
💍坏了说是带来好运的紫水晶坏了心疼死宝宝了,sad,usual
有一种爱是，即使你让我先睡，我也要等你回来。因为我脚凉……需要捂捂…哈哈哈,happy,usual
今天得知我的大闺蜜海峰姐从楼梯上摔下来了，心里瞬间纠了起来，碰了胳膊和头，胳膊也抬不起来了，好心疼，我没在她身边，想帮她做做饭照顾照顾他都够不着,sad,usual
衍射光栅是一种由密集﹑等间距平行刻线构成的非常重要的光学器件，分反射和透射两大类。,neural,usual
导了一上午的电子单据NG系统慢的让我真生不如死,angry,usual
荒岛这傻逼又倒贴我西皮还不情不愿的,angry,usual
热又太热，冷又太冷，到底想怎样嘛这是，完全不懂穿啥买啥,angry,usual
SuperJunior-M周觅Solo出道主打歌《Rewind》韩文版公开，由EXO灿烈参与Feat，一起来欣赏吧。,happy,usual
要时刻保持冷静的头脑，要从内心感觉到寒意，要总结各种心理，要从失败中积累，要回合制，要多看极限运动，多刺激自己麻木的神经，多思考，懂得换位，做好记录，要习惯在任何时候都显得有城府，哪怕是装的，也要有模有样。,happy,usual
只有你身边的人走了你才会懂得珍惜！,sad,usual
"Hemissesher,buthemissedher.错过只在一瞬，思念却是一世。",sad,usual
他认为涉深水者得蛟龙，立大志者有大作为，非志无以成学，非学无以成才，以精诚专攻之恒毅，才可见水滴穿石之神奇。,happy,usual
初雪，牵手慢行风雪中，有种到白头的感动，带着宝贝儿们打雪仗，堆雪人，游乐这个美丽的银装世界，温暖如春,happy,usual
他们利用高通量的亚硫酸氢盐测序和单分子测序，产生了覆盖大部分CpG岛的DNA甲基化图谱。,neural,usual
周年以夏孢子转移侵染，借助气流传播。,neural,usual
牵挂与被牵挂在我们的生命中是不可缺少的，牵挂是不知对方是否也在牵挂你，所以会忧伤，而这种忧伤只能自己默默的承受，忧伤会让你心酸悲痛，[泪流满面]让你在生活中惴惴不安，牵挂对方时，用心去感受对方的牵挂，并且送上真诚的祝福。苏州·吴江市中联百佳...,sad,usual
我喜欢并习惯了对变化的东西保持着距离，这样才会知道什么是最不会被时间抛弃的准则。比如爱一个人，充满变数，我于是后退一步，静静的看着，直到看见真诚的感情。,happy,usual
我的童年啊，虽然画风有些奇怪，但是我还是喜欢。大和果然还是颜值担当,happy,usual
我觉得我爸妈已经不管我死活够可怜了邹巧也这样我只不过叫他陪我聊10分钟而已💔,sad,usual
科目一对我来说怎么这么难！这么难！！这么难！！！,angry,usual
刚才在外面饭店吃饭，有位顾客拿了张新版人民币给老板，老板她既然不敢收,surprise,usual
前几天才说过很久没回南苑，想不到这次小米手机居然立下“大功”！本来是要送一个小米到京东返修，离家里最近的自提点居然是这里,surprise,usual
强烈鄙视论说文的审题立意，凭什么就那个是正确答案，凭什么别的想法就不对,angry,usual
“得到的都是幸运，失去的便是人生”,neural,usual
2中2收米！！就是这么爽！！心态好了，米就来了,happy,usual
人最大的魅力，是有一颗阳光的心态。日出东海落西山，愁也一天，喜也一天；遇事不要急躁。不要急于下结论，尤其生气时不要做决断，要学会换位思考，大事化小、小事化了，把复杂的事情尽量简单处理，千万不要把简单的事情复杂化。,neural,usual
打了好多好多字，想说好多好多话，但是最后还是没按下发送删掉了。想说的太多反而就不知道应该从何说起。,sad,usual
关灯后，我竟然听到了蚊子的哼哼声，是我幻听了吗,surprise,usual
大半夜我初中时候的高冷同桌千里传音，现场直播《南山南》，真温暖！我的世界真心是充满啦爱呀！,happy,usual
我真他么手贱，干嘛没事点进扣扣邮箱,angry,usual
谢谢我们家的老大，谢谢你一直都这么疼我，谢谢你现在给我的一切！爱你哟,happy,usual
感冒每天都有新症状，关灯打算睡觉，开始咳嗽了...想一巴掌拍死病毒。,angry,usual
很有主见的姑娘，虽然很挑剔，还是成功搞定美哒哒！,happy,usual
所谓赛金鱼，并不是让金鱼打架，也不是让金鱼比赛游泳。,neural,usual
司考成绩快出来了，考完也没敢估分，每次都隐约觉得自己考了340左右，我的天！我不想再来第三次了！求过啊！,fear,usual
过忙忙碌碌的生活不过是想证明自己是活的有价值的。,happy,usual
就我这破嗓子，周四又要去石家庄，已然说不出什么了,sad,usual
除了有滴滴打车，没听说过还有滴滴打伞的，太有意思了，感觉萌萌哒,happy,usual
是的，无论怎样，你都好帅，帅帅帅，喜欢你到爆,happy,usual
这两年到底犯了神马冲了？接二连三出病号,angry,usual
过去的事，不后悔，将来的事，不害怕。对于那些应经发生的事，要坦然接受，无论它对你产生的不利影响有多大，它都已经发生了。对于那些尚未发生的事，要勇于面对，无论你把它想象得多么艰难可怕，它都还没有发生。我们控制不了天气，但是我们可以掌控自己的心情，否则，又如何去掌控人生。,happy,usual
我问姚怪，如果我们中间没有没乱七八糟的事，你会娶我吗？姚怪说会，没有迟疑，真的很高兴，就算不能实现也很满足,happy,usual
安安静静的看着你，其实你还是曾经记忆中的样子…,neural,usual
无行为能力人、限制行为能力人不得担任集会、游行、示威的负责人。,neural,usual
心疼我家两位，只希望你们要好好保重身体,sad,usual
变瘦才是硬道理要不然多好看的衣服都没法穿变瘦不变瘦我宁愿是一条萌汪,happy,usual
变态妻子，变态夫！！你嫌弃离婚就好了呀，你愧疚，离婚就好了嘛！！！！,angry,usual
我对珠海的冬天已无期待，但好歹给我个秋天呀,angry,usual
现在是个迷茫的阶段没有目标没有方向感觉什么都没有好空落的心情好想忙碌起来充实起来但心却很累人却很懒这是什么病,sad,usual
养女儿真的好贴心啊！昨晚她在吃溶溶豆，掉了一粒在地上，我捡起来说：“哎~妈妈就吃你掉在地上的吧！”然后她看着我，又从小盒子里拿了溶溶豆，我以为她是自己吃，结果她拿着豆豆往我嘴里塞。我的心啊，融化的都不省渣子了满满的都是爱，宝贝，妈妈好爱你。,happy,usual
李云迪的肖邦钢琴曲演奏会莫文蔚周杰伦的演唱会我都想看好希望我的爸爸是马云,sad,usual
太子逃到湖县（今河南灵宝西）一户贫家，），隐藏在泉鸠里。,neural,usual
噢我好怕写化学写到猝死...但我还是更怕被老师骂死我实在无法理解它完了没达到老师要求的我要表演节目了我好慌看到成绩后我决定好好学习天天向上哎…感觉要屎了,fear,usual
"国民政府拨抚金一万元(银元),后又每月发三百元家属抚恤费,颂发“少将第镀金匾。",neural,usual
从当初的热情逐渐变成如今的无所谓,sad,usual
其实我也知道，过马路是一件很简单的事情，做好判断，不犹豫也就过去了。然而啊，我现在一过马路就提心吊胆，胆战心惊的，过马路简直成了我生活中最大的心理障碍。。。我该怎么办，要找心理医生么？感觉有点影响到自己生活了,fear,usual
20多年间，他到过100多个村做工艺，共培养了30多个学徒，还收养三位走失儿童并帮助其找到父母。,happy,usual
微博出问题了吗，刷新出来的都是几小时之前的，几天之前的，就是没有刚刚的,angry,usual
早饭标配大饼油条！还每天躲车里吃！,neural,usual
所以即使您选择PDF格式，也是影像格式，因此您也就无法选取文字。,neural,usual
近两天学校网络不稳定。。今天竟然说有台机中了熊猫烧香。。。,surprise,usual
