content,labels,type
儿子生意不景气，工作不顺心受气，刚刚听他说这些的时候真的挺上火的，尤其是工作上受气，等我以后有能力了我要让那些让他受气的人吃不了兜着走,angry,usual
两张图片。呵呵，猜到了。宁愿不这么聪明。是我自己自讨苦吃。蒙蔽了双眼。果然啊。呵呵，呵呵，还跟个傻逼似得相信别人。真相来的太早。,sad,usual
为什么既不来找我，也不和我分手,angry,usual
忍一忍忍一忍忍一忍此时此刻我的内心是崩溃的,angry,usual
总会有不想追逐的时候，总会有不被理解的时候，总会有委屈辛酸的时候。,sad,usual
3.分泌物较多且创面较深时，宜用生理盐水冲洗，如坏死组织较多，可用攸锁或其他消毒溶液冲洗。,neural,usual
"  .co域名..co是国家顶级域名（ccTLD），国际通用，是英文""Corporation、Company""（商业公司）的缩写，含义明确、简单易记，方便公众理解。",neural,usual
清晨醒来，发现外面下着雨感觉好有诗意,happy,usual
我用4G网看了两集《北上广不相信眼泪》才发现没开无线网，气死宝宝了,angry,usual
20世纪90年代以来，一些发达国家和地区的服务贸易已超过一般商品贸易。,neural,usual
我自己好不容易到了一盒本来想自己留着吃结果还是必须发给你们，我容易吗,sad,usual
算了一算，鲜艳，摸哥，曾老她们现在又在教高三了好快啊！,happy,usual
总有一天，你会遇到一个绚丽的人，让你觉得其他人都是浮云。,happy,usual
详情学校成立于2009年，是市政府十大民生工程之一。,neural,usual
公司年会礼品十分土豪，全是进口高科技电子产品，还有1-2万现金奖，我全程都是这个,happy,usual
走着走着，终于明白……走着走着，我醒了，不再对所有人好，谁对我好我就对谁好。走着走着，我知道了，日久不一定生情，但一定能够见人心。走着走着，我明白了，没有谁会像父母一样一直包容并原谅你。走着走着，我害怕了，因为年龄越大、离开我的亲人就越多。生命无常。走着走着，我畏惧了...全文,fear,usual
没有机会做大事的人，是因为没有通过做好小事来证明自己的实力。放在越不起眼的地方，越要主动发光。在别人不敢委以重任之前，把小事做到极致，来证明你的实力。——可惜大多数人永远都想不明白这个道理，怨天尤人者居多，有的似乎明白了，又不去实践，所谓蹉跎岁月，想必就是如此。,happy,usual
哇塞买了回国机票！！！02.9-02.23,happy,usual
今天这工作效率，晚上又要熬夜了。。。,sad,usual
乌鲁木齐铁路局地处西北边陲的多民族地区。,neural,usual
一回来就遭宰，前三盘就遭了5个五翻了，今年不打牌了妈的,angry,usual
心情超不爽的～不知道谁装不记得还是真不记得了～,angry,usual
：彼此互相推委，皆弃之不收，反遗之以与金人用。,neural,usual
突然觉得世界好大，可是却没有我的容身之地。,sad,usual
一晚上不晓得被蚊子咬了多少次，手上，脚上，脸上，都有它留下的痕迹,angry,usual
瑞昌市立即成立联合调查组，初步调查认为高奉青行为涉嫌诈骗，其外逃原因或为躲避债务。,neural,usual
在这风中凌乱了一下午，临睡时却思绪万千，海拔四千多都上去了，怎么就过不去心里那道坎呢这次你还是不在,sad,usual
那些苦难的日子，是谁陪着你？对不起,sad,usual
靠他大爷，干啥都不能干的丽丽亮亮的。,angry,usual
啊哈，第一次发面蒸包子～居然成功了～,happy,usual
为什么总是这样，天天加班！！！从早上六点到现在，烦人！,angry,usual
求解醋吃多了会腐蚀胃吗胃好难受好难受,sad,usual
一座让我既向往又害怕，既激动又畏惧的城市。不主动向前走就是被动挨宰|天津·天津...,sad,usual
#春娇与志明#感觉…张志明好像…是个渣男🌚,angry,usual
找一個人，打打鬧鬧、不正不經過一生…好像也挺有趣的…各位覺得呢??,happy,usual
非常清楚无论在哪里都没有公平而言，但是在我看来就是非常严肃的事儿，但是一直都是一个非常骄傲的人，凭什么接受这样的结果，别把别人当傻子，只想孕妇赶紧给我报销，土都吃不起了！！,angry,usual
选择、犹豫、决定、徘徊和不安定的心合在一起组成的生活。无数次坚定又无数次变化。什么时候才能真真切切知道自己想要啥呢呢呢也许对过一次之后又也许错过一万次之后还是回头好好刷题吧,sad,usual
捡了一点红叶，次日变的不那么艳丽啦！南方城市中仿佛少了秋季，看到这红叶我很开心。正好家里还剩几个橘子合个影吧,happy,usual
张嘉佳，你是啰嗦鬼，可还是喜欢你...,happy,usual
培养学生用心把事情做好，促使学生形成“勤奋、文明、健康、进取的良好学风，培养学生成为有修养的小公民。,happy,usual
但同时新桂系还通过贩卖鸦片来增加收入。,neural,usual
这的确是个好消息赶紧告诉我的好朋友去,happy,usual
感谢天感谢地感谢自己！刚刚正好赶上车感觉一天都开心了啦啦啦~,happy,usual
上个班不容易啊，一天检查，检查，检查。对你们就那么重要。非要把你们所谓工作好的换到一起来迎检，我的工作就那么让你肯定吗？真闹心的工作。这万一哪个环节出问题。就变成罪人了。压力山大啊真的累啊。身体累就算了心更累。还让人活不活。这样下去真TMD要被整疯。,angry,usual
天猫盒子自说自话把我下的直播APP和VST还有沙发管家这些全删了强盗啊麻痹盒子还能强制删除的一刚哈尼心,angry,usual
哥俩17岁了，很开心，要永远在一起哦,happy,usual
大早晨起来开批斗大会也是够了，让我整天都不好了……,angry,usual
还什么韩国最新Ap，还最稳定完全不给力,angry,usual
不知道在别人眼里的我如何总之我是能被吓哭的人嘻嘻,happy,usual
【这个纸飞机，真的不一般】相信很多人小时候都玩过纸飞机，不过呢，这个纸飞机真的太逆天了,happy,usual
我果然是乖巧贤惠懂事的好姑娘给爷爷奶奶织围巾的我简直可爱极了,happy,usual
据说今天是感恩节，感恩自己，抓紧时间起床喽，愿能享受一顿美美的早餐，早安,happy,usual
一个二个像他妈打了鸡血的一样七八点钟就开始东整西整老子不晓得起浪个早赶到去投胎是不是和你们待在一起都要少活好多年细胞都不晓得要死好几亿不晓得上辈子是做了浪个恶事让我遇到你们这堆人,angry,usual
抵制诱惑，认真养成好习惯#早睡打卡#,happy,usual
函数接受的参数除了快慢等，还可以接收整型，作为渐入或淡出的完成时间，单位为ms。,neural,usual
曾经相隔一间隙，如今仿佛两世界。情商低一定不是答案，过分敏感以至于将自己包裹起来，恩，大抵是这样。改变即刻开始，每一次从空到满，再倒空，这都应是成长的过程。,happy,usual
至少努力努力过了😔😔😔😔😔还是那样的不如意,angry,usual
下午去办新号，被客户经理放了鸽子，楼下等了十五分钟连个影子都没见，打电话不接也不回，气呼呼的回到办公室，因为完全无法理解。——一个小时后，客户经理打来电话，听完原因，还是一肚子火，但是想到人家也不是故意的，竟然也发不出来脾气，只能喝杯甜的安慰一下自己,angry,usual
真是火大做了一遍乱码白做重做又乱码破系统能不能不闹,angry,usual
每次安检都被摸个遍你看你是女的我就没脾气是吧,angry,usual
《史记·吕太后本纪》：“太傅产、丞相平等言，武信侯吕禄上侯，位次第一，请立为赵王。,neural,usual
如果我们再见的时候，我还是硬着脖子不回头。你就走吧！远远的别回头。,sad,usual
像你那样不理世俗活着挺好，我向你学习，得高冷。,happy,usual
我的主号莫名其妙被锁定了，强制要我绑定手机号，我没有手机号可用了，不要就不要了，微博药丸。,angry,usual
天天這呼嚕聲我也是醉了我要睡覺！！！！！！！！！！氣了想給我桌子從床上扔下去！！！！！！！,angry,usual
重庆市火车站南广场对残疾人服务态度太差了！,angry,usual
最荒唐的事情就是发现考试是在星期六而不是星期一啊,surprise,usual
还真是人一倒霉，喝凉水都塞牙。车[小汽车]电瓶坏了，打不着火也就算了，打个出租车[出租车]让他来接我，结果自己撞杆儿上了，水箱还给撞漏了…然后我还淋了雨。。。这一路战战兢兢的，我也是醉了…[流汗][流汗][流汗]不过最担心的还是那司机，毕竟这大半夜的还下着雨上哪儿修车啊。。。#晚安，自己##晚安心语...全文,sad,usual
1930年任广西大学军训部主任，次年任广西军警督察署参谋长。,neural,usual
是不是我一直都不会出现在你的朋友圈里,sad,usual
就不能给点安静的空间，做人就不能知足么，整天比来比去的有意思么……靠，烦躁！不爽掐死得了,angry,usual
天天本来电话就多现在隔个两三天不是什么卖房的就是贷款的现在又多了个问我找不找工作的都是哪里蹦出来的,angry,usual
断奶之后睡觉可真香，但是居然一个星期吃了一罐奶粉,surprise,usual
旧历啧啧啧愿望就是吃好睡饱身边人好,happy,usual
请北京机场的保安008276出来道歉，你们保安这么没素质吗，请道歉,angry,usual
已养成随手截图的好习惯，胖杉的鱼塘#赵丽颖#,neural,usual
看喜剧总是能让人一身轻松、忘掉烦恼,happy,usual
在学校的日子里是初中生最难熬的生活,sad,usual
如此心塞的一晚…每天瞎折腾，也不知道折腾点啥最近做的东西也不少，却没一点成就感,sad,usual
"有些人、才遇见了那么一下子：就好像认识了很久似的。什么事都想和他说。Somepeople,Imetsosuddenly,asiftoknowalongtimelike,whatdowantandhesaid.",neural,usual
只有最后一个比较吓人。最后一个好凶恶，吓死了,fear,usual
小时候，家里穷，希望能有一件自己的玩具，现在也是。,sad,usual
1.独特的课程架构：贯穿此课程的90%是通过肢体动作来演绎，而只有10%通过文字来解说，是目前在培训界文字较少的课程之一。,neural,usual
80年代初，一系列话剧如《车站》、《野人》、《WM》、《一个死者对生者的访问》等的出现，形成了探索剧的潮流。,neural,usual
坐在我旁边的两只耗子一直不停的制造噪音，我冷冷的盯着这两只死耗子，你不让我好好看书，我也不让你好好看书。,angry,usual
《花千骨》里赵丽颖为白子画取血做药引，《云中歌》里赵丽颖为刘弗陵取血做药引。赵丽颖的血是万能的吗？,surprise,usual
所以不是沉鱼落雁闭月羞花。你怎么还不来。,sad,usual
周二开始工作啦！可怕的拖延症认真对待每件你该去完成的工作！！！！💪💪,angry,usual
我说了那么多，这次我少说点。晚安。,neural,usual
可怕的噩梦。令人震惊。出门在外。安全最重要。阿门！！！,surprise,usual
可怕[骷髅]只想知道整容后还能活多久[惊恐],fear,usual
幸福其实是种感觉。就像一盏烛光，当你穿行在万家灯火，总有暖暖的萤光照亮你回家的路；像一抹回味萦绕在心际，甜酸苦辣都是曾经的追逐；就像一份渴望，当憧憬岁月的皱纹爬满额头，仍坦然欣喜无愧无悔。幸福是一杯想象，梦想着把平凡的谷米酝酿成美酒的芬芳，然后用生命守候与珍藏,happy,usual
跌跌撞撞磕磕碰碰這兒疼那兒酸渾身是傷尼瑪崩潰想哭....,sad,usual
享誉全球的性自助指导大师贝蒂·道森一直致力于性解放运动，提供了许多实际的好点子，以供男女改进其性技巧，共享彼此高潮。,happy,usual
妈个鸡晒个被子收回来的时候上面全是烟灰,angry,usual
期中考试，全年级流水改卷子，我正好改字的笔顺那一条题目，眼睛已瞎,sad,usual
最近穷的话费都充不起了。还怎么过日子…,sad,usual
死之并不可怕，但是死亡的过程实在太恐怖了，好似人间地狱之间的渄洄。新乡·牧野区,fear,usual
第四十七条以下全省性大型会议由省政府召开：（一）传达贯彻党中央、国务院重要会议精神，部署全省性工作的会议。,neural,usual
事后还是有点心有余悸，安全第一吧！,fear,usual
李花英！！！李花英！！！姐看了这么多年韩剧，都没见过这么无耻卑鄙的女二号，穷凶恶极、集天下之大恶于一身的角色。姐一直很理智的看剧，看了杜鹃之巢真的102集挨着骂过去的！,angry,usual
当我知道第一时的喜悦当我想拥抱你们时的兴奋当我看到身在北京的男神对我说加油时的幸福当我回忆过去奋斗的艰辛与苦累时的淡定当我发现词乏无法描述自己的心情我真切地感受到你们于我是无上的荣耀真想紧紧抱着你们狠狠亲一口,happy,usual
我想买件羽绒服，因为没钱双十一一分没花，心心念念着！刚大学毕业工作各种艰难各种没钱，生存边挣扎,sad,usual
此外，由于涤纶大分子也能形成伸直链结晶（原纤化结晶）。,neural,usual
校门高7.6米，宽22.36米。,neural,usual
吃的也带给我压力，真是，因为惦记着早点竟然没办法睡懒觉我这个??,angry,usual
沙僧啊……把吃过的人头骨串起来当珠子戴着……感觉又是一个恐怖片好题材[惊恐],fear,usual
大部分人打DOTA的时候的内心独白：让你点我，怼死你。卧槽还想反补？傻逼辅助抢我正补。喜欢跳？卧槽，这POM箭躲不过去了，完了完了要死要死。装了逼还想走？会不会啊？这波不亏。哎，死了就死了，换个大哥也值了。XX你接技能，卧槽你卖我，孙子你别跑。团战的时候，卧槽队友人呢！,angry,usual
间歇性厌工作烦阻力症发作，可是上班哪里是说不玩就不玩了的,sad,usual
原本打算画元素拟的，后来变成了物态拟，然后大家都来玩物态拟了…………我我我好惊讶！！,surprise,usual
昨晚看了视频，梦到看鹿哥演唱会他把头上帽子扔给我了,happy,usual
没有带鼠标的一天简直跟断了手一样难受！！,angry,usual
我只是想试玩一下RP，谁知道既然中了，得意了几天，可是刚刚一盆冷水突如其来,surprise,usual
若是炝呀腌呀有灶哇：白薯通心菜眼前、若是炝呀腌呀有灶哇，白薯通心菜眼前！,neural,usual
做出客观公正的审计结论，防止审计风险的产生。,neural,usual
最怕脑残志坚的人，气地想撞墙，饭都吃不下，外面这么冷我气的要喷火了，牙都要咬碎了,angry,usual
心情更加不美丽，破不了纪录！某人还，哼哼！,angry,usual
怎么就那么不喜欢乐视直播的解说，，，给自己牛逼完了，说的一套一套的，好像自己要是本场的主帅这场球稳赢似的，太可气了，，，,angry,usual
别不好意思拒绝别人，因为那些好意思难为你的人，都不是什么好人。,angry,usual
这才几点就起来复习，看看看，才几点,angry,usual
就物流方面而言，在提高物流活动效率化的同时，从保障国民日常生活的观念出发，确保稳定而安全的物流服务。,neural,usual
缠绵游戏过后为何能舍得放手.....是定律或是爱不够？,sad,usual
以为它是幅科幻电影的场景设计……木有想到，它是真的,surprise,usual
被一个疯子把一天的好心情都破坏了，世界上有病的人真是不少,angry,usual
大雨天，只想戴着JustinBieber去健身房🏃，现实却是拎着一堆图纸去上班,angry,usual
被初中同学拉进群，我能说除了三五人，我几乎都不认识了么？！,surprise,usual
真是恶心到爆了，不就一个6s么，搞得人家都没钱买的样子，炫给谁看啊，用还没用熟呢，还装，求别再跟我说了，我真的骂人了,angry,usual
虽然还是没想通看开那件事，不过我决定翻篇了。如果再有，可能…………晚安。,sad,usual
2002年6月下旬，当三年期限结束的时候，她赴山东大学进行学位答辩，论文题目就是《诗歌翻译的韵律问题》。,neural,usual
早上吼~白云蓝天~今天的心情是美美哒~,happy,usual
难受、一个人身上味道好重的挨着我睡！,angry,usual
乃木坂太郎的漫画(真)的可怕，对人性的刻画恐怖又真实。,neural,usual
价格：光地费用：266英镑/平方米标摊费用：319英镑/平方米报名费：300英镑/企业（以上价格不含VAT:17.5%）,neural,usual
她远离都市的喧嚣，尽享乡村的宁静。,neural,usual
有些时候可能真的过于做自己，连真切所在的环境都忘记深切感受，也许是太过傲娇，忘记了如何表达。🌙,sad,usual
(Macross7、第47话)02月，Sivil因Basara生死不明而逆袭Geperuniti，使得Geperuniti本体觉醒，自身也被重新封印。,neural,usual
知道今天是女神的课，故一下班就了出去。尽管上班压力颇多，但只要看到女神潇洒的步伐，觉得一切又是那么美好,happy,usual
半夜被宾馆隔壁啪啪啪吵醒…让不让人睡了,angry,usual
1998年毕业于重庆医科大学医疗系，2001年获重庆医科大学妇产科硕士学位，发表论文数篇，对分娩发动的机理和早产的防治有较深入的研究。,neural,usual
D13，一晚上饿得翻来覆去的，不舒服不好受眼睛好困可肚子饿到快飞起来,angry,usual
我们花了两年学会说话；却要花上六十年来学会闭嘴……大多数时候、我们说得越多；彼此的距离却越远、矛盾也越多……,sad,usual
觉来正是平阶雨，独背寒灯枕手眠。,neural,usual
有没有哪块还有厦门老房子的那种感觉的地方啊！最好是那种木窗，花地砖那种感觉的！拍照摄影录视频用！急求！,neural,usual
每次等这破公交都差一点点。今天真的是都快要赶上了，车还开走了，有时候对司机真的是无语的，想想真是火大,angry,usual
如果黑色代表著冷酷、神祕、恐懼、顯瘦。那麼透明又代表著什麼？想著一個人的顏色又是什麼？,sad,usual
md我是多不机灵不会立刻编个谎话说好不帮忙烦死帮了也不会感恩而且都成年了说话也要负责任被迫帮忙两字恶心,angry,usual
世间许多事都是经不起推敲的，逃不了灰飞烟灭，但为了生存或者成就自我，你得去做，沉下心去做，做好当下手中的一针一线。不积跬步，无以至千里。虽踽踽前行，颤颤巍巍，前路漫漫，但除了前进，别无他法。后退不得啊。停滞不得啊。,happy,usual
92天三个月继续幸福加油💪🏻💪🏻💪🏻,happy,usual
文子也是瘦过的好吗？。请不要再伤害我了特么的这个月都要喝西北风了这是要瘦要瘦要瘦的节奏好么还有某🐶说你脸小啊，我好开森啊还没激动完特喵的来了一句“可你脸看起来蛮多肉的”卧槽！！爱过,angry,usual
烦烦烦，与死亡擦肩而过的人，如果还不能从自身去意识到问题所在，那这个代价实在是太大了，一条人命啊~~,angry,usual
吼吼吼~下雪咯~前后各贴个暖宝宝走路上学来打雪仗哈哈哈不要太拼。就酱~下雪粗卡~撒花~,happy,usual
和一个人在一起如果他给你的能量是让你每天都能高高兴兴起床每夜都能安心入睡做每一件事都充满了动力对未来满怀期待那你就没有爱错人真正的感情永远不是以爱的名义互相折磨而是彼此陪伴成为对方的阳光,happy,usual
卡泰米是由1980年从他处搬到廖内省杜迈·泰米尔分区巴基特·巴特里姆村居住，但其邻居表示，打那以后老太太的模样似乎就一直未见什么变化。,neural,usual
学会拒绝学会拒绝学会拒绝重要的事情要说三遍！！！,angry,usual
我说怎么今天这么没精神，原来是感冒了，眼睛睁不开，还一直流鼻涕打喷嚏，根本没办法集中精力，我可不可以再休息一天,sad,usual
十点半一过，今天说过的话都不算数。,neural,usual
CIS电池年产1.5MW，其成本是晶体硅太阳电池的1/2～1/3，能量偿还时间在一年之内，远远低于晶体硅太阳电池。,neural,usual
看看蓝天，雪山，黄叶，瞬间觉得生活美好了！,happy,usual
#本来我也想着遇见你就是结局#我说下雪了啊好像过年一样,happy,usual
一些陨石的结构中也显示出有些小行星也发生过分化的作用。,neural,usual
请你记住我现在的体重我要是不瘦评论这条微博的人我每个人发一百块说到做到,angry,usual
有点小恐怖，不知不觉今年已经买了这么多东西了,fear,usual
办公室就三个人，同事在看股票，也没干别的。我就想发个邮件，狗日的居然发不出去。我偷偷看了一眼领导，唉，我该如何委婉的提醒他别下东西了,angry,usual
一到睡觉时间就痛苦，长期失眠的我快要疯了！有何药可治？？？,angry,usual
在以后的发展中我们会根据市场需求人民的需要添加相应的版块。,neural,usual
付一雄，你在上我微博，我就跟你急,angry,usual
画不好，好烦，真的不开心！！手绘头像真心画不好,sad,usual
为我们生活在河南的考生没有猝死应该感到万幸,sad,usual
我不知道未来有多远但我知道从现在的每天开始要把自己的工作做好什么都不要怕大步往前走就好了今天乔振宇还是帅帅的，哈哈哈哈自己犯傻还把导演认错了，太丢脸了哎下次要注意了不能再犯这种事了哈哈哈哈哈嘎嘛的！,happy,usual
  黑龙江幼教指导网是由中国教育学会黑龙江幼教课题组专家在课题研究的基础上创办的大型专业性、公益性幼儿教育指导网站。,neural,usual
H425是中航二集团的重点指令性项目，2001年11月由国防科工委正式立项批复，哈飞第一次自主担纲整机设计并作为项目责任单位开始研制。,neural,usual
氧气一哥快手达人二驴今天在夜店户外直播，竟然公开亲学生妹。。,surprise,usual
💍坏了说是带来好运的紫水晶坏了心疼死宝宝了,sad,usual
明明11点就困意浓浓，竟然到现在都睡不着。。。真是,sad,usual
扑街今日好气接了个电话差点被骗了！诈骗电话一大堆!妈的这次差点上当,angry,usual
有一种爱是，即使你让我先睡，我也要等你回来。因为我脚凉……需要捂捂…哈哈哈,happy,usual
今天得知我的大闺蜜海峰姐从楼梯上摔下来了，心里瞬间纠了起来，碰了胳膊和头，胳膊也抬不起来了，好心疼，我没在她身边，想帮她做做饭照顾照顾他都够不着,sad,usual
衍射光栅是一种由密集﹑等间距平行刻线构成的非常重要的光学器件，分反射和透射两大类。,neural,usual
导了一上午的电子单据NG系统慢的让我真生不如死,angry,usual
荒岛这傻逼又倒贴我西皮还不情不愿的,angry,usual
老太太不对也绝不能以这种方式，现在的人都怎么了，竟然这么多说踹的对的，真是滥到底了！,angry,usual
热又太热，冷又太冷，到底想怎样嘛这是，完全不懂穿啥买啥,angry,usual
"Hemissesher,buthemissedher.错过只在一瞬，思念却是一世。",sad,usual
他认为涉深水者得蛟龙，立大志者有大作为，非志无以成学，非学无以成才，以精诚专攻之恒毅，才可见水滴穿石之神奇。,happy,usual
周年以夏孢子转移侵染，借助气流传播。,neural,usual
定价那么低，不挣个7位数！工资都不要发了→_→→_→→_→…,angry,usual
我喜欢并习惯了对变化的东西保持着距离，这样才会知道什么是最不会被时间抛弃的准则。比如爱一个人，充满变数，我于是后退一步，静静的看着，直到看见真诚的感情。,happy,usual
我的童年啊，虽然画风有些奇怪，但是我还是喜欢。大和果然还是颜值担当,happy,usual
今晚第一次体验了人体淋巴结按摩（四大部位），颈后侧出的痧和肩膀上拔罐去驱寒的印记那叫一个吓人，不过做完以后全身轻松，效果真的挺不错。,happy,usual
科目一对我来说怎么这么难！这么难！！这么难！！！,angry,usual
前几天才说过很久没回南苑，想不到这次小米手机居然立下“大功”！本来是要送一个小米到京东返修，离家里最近的自提点居然是这里,surprise,usual
强烈鄙视论说文的审题立意，凭什么就那个是正确答案，凭什么别的想法就不对,angry,usual
“得到的都是幸运，失去的便是人生”,neural,usual
2中2收米！！就是这么爽！！心态好了，米就来了,happy,usual
人最大的魅力，是有一颗阳光的心态。日出东海落西山，愁也一天，喜也一天；遇事不要急躁。不要急于下结论，尤其生气时不要做决断，要学会换位思考，大事化小、小事化了，把复杂的事情尽量简单处理，千万不要把简单的事情复杂化。,neural,usual
打了好多好多字，想说好多好多话，但是最后还是没按下发送删掉了。想说的太多反而就不知道应该从何说起。,sad,usual
傻逼客服，问什么都回我个❓问号，产品有问题要求退货，问它退货地址，还是回我问号❓，我的个暴脾气,angry,usual
目前因为包子技能太多太满点，菲迷已经练习过倒立然后栽倒撞头，劈叉、侧踢腿扯到合不拢，接下来还会发生什么灾（xiao）难（dian）呢，拭目以待哈哈哈哈哈哈～话说我艾尔莎在马路上骑自行车堪称飞速，有人要挑战吗？,happy,usual
感冒每天都有新症状，关灯打算睡觉，开始咳嗽了...想一巴掌拍死病毒。,angry,usual
怎么这么像你本人，是用什么app做的吗,surprise,usual
司考成绩快出来了，考完也没敢估分，每次都隐约觉得自己考了340左右，我的天！我不想再来第三次了！求过啊！,fear,usual
每个人都有恐惧，抓住恐惧就能把控人性。希望是每个人心中的野兽，当精神食粮无法喂养它，就要用金钱去喂养它。这个世界每个人都害怕贫穷、无知、不得到别人认可。人人都有恐惧的东西，你找到它，你基本上就能给予他！驱使他。（添名20161001）,happy,usual
过忙忙碌碌的生活不过是想证明自己是活的有价值的。,happy,usual
就我这破嗓子，周四又要去石家庄，已然说不出什么了,sad,usual
除了有滴滴打车，没听说过还有滴滴打伞的，太有意思了，感觉萌萌哒,happy,usual
是的，无论怎样，你都好帅，帅帅帅，喜欢你到爆,happy,usual
这两年到底犯了神马冲了？接二连三出病号,angry,usual
心疼我家两位，只希望你们要好好保重身体,sad,usual
变瘦才是硬道理要不然多好看的衣服都没法穿变瘦不变瘦我宁愿是一条萌汪,happy,usual
累了就蹲下来抱抱自己。很多郁闷的事情，还是要自己排解，别人永远不懂，原来一直都是一个人。,happy,usual
变态妻子，变态夫！！你嫌弃离婚就好了呀，你愧疚，离婚就好了嘛！！！！,angry,usual
现在是个迷茫的阶段没有目标没有方向感觉什么都没有好空落的心情好想忙碌起来充实起来但心却很累人却很懒这是什么病,sad,usual
又快要考试啦😭谁成想，没作业，还挺高兴，结果后来说要考5门课程,sad,usual
养女儿真的好贴心啊！昨晚她在吃溶溶豆，掉了一粒在地上，我捡起来说：“哎~妈妈就吃你掉在地上的吧！”然后她看着我，又从小盒子里拿了溶溶豆，我以为她是自己吃，结果她拿着豆豆往我嘴里塞。我的心啊，融化的都不省渣子了满满的都是爱，宝贝，妈妈好爱你。,happy,usual
李云迪的肖邦钢琴曲演奏会莫文蔚周杰伦的演唱会我都想看好希望我的爸爸是马云,sad,usual
哇槽。微博有的人改了名字换了头像然后我就不知道是谁了,surprise,usual
太子逃到湖县（今河南灵宝西）一户贫家，），隐藏在泉鸠里。,neural,usual
一个小女生那来的这么多莫名其妙的小情绪,surprise,usual
噢我好怕写化学写到猝死...但我还是更怕被老师骂死我实在无法理解它完了没达到老师要求的我要表演节目了我好慌看到成绩后我决定好好学习天天向上哎…感觉要屎了,fear,usual
"国民政府拨抚金一万元(银元),后又每月发三百元家属抚恤费,颂发“少将第镀金匾。",neural,usual
看新闻，日本天皇今天下午首次电视讲话，感谢各国和国际组织对日本的援助，呼吁国民勇敢地活下去。核危机在继续升级，让人揪心。天皇出来讲话说明事态非常重大。后面那句话更是惊心动魄啊！愿神保佑众生平安！,fear,usual
跟人玩LOL5次都遇到挂机，胜率为0。害别人不开心了...然后滚回去玩了局Dota缓一缓压压惊。虽然hold住了全场，但还是很不开熏有木有！,angry,usual
所以即使您选择PDF格式，也是影像格式，因此您也就无法选取文字。,neural,usual
近两天学校网络不稳定。。今天竟然说有台机中了熊猫烧香。。。,surprise,usual
听，少说，接受每一个人的责难，但是保留你的最后裁决。——莎士比亚,neural,usual
《浣溪沙·绣面芙蓉一笑开》是李清照早期作品。,neural,usual
4、镜子摆放不正确易招小人镜子在我们的生活中是常用的物品，如果在摆放中位置摆放的不对，那就会对主人不利的。一是在办公室中不要在对面摆放镜子，镜子对着人不好。在居家风水中镜子敢不要正对着床位，首先对夫妻双方不利，更重要的是导致招小人，因此一定要引起注意。,neural,usual
上海女篮71:58赢山西女篮女孩们打得很精彩！,happy,usual
3起源高阶元生物类别的起源历来是进化生命科学的核心命题。,neural,usual
就该滚出去这种人18岁就敢目无尊长28岁还不得翻了天？往男生宿舍跑的倒挺勤人别的正式生怎么不这样就你能就你丫会说话打抱不平！德性！晚上不请假出学校丫还有理了！等那天你变失踪人口的时候丫都不知道上哪哭！不知好歹的东西！整天露丫的半拉肚皮不嫌恶心啊！,angry,usual
隔壁的男的，天天唱歌，一句歌词唱一个晚上，天天如此。。。今天的歌词是不要这样离开我。麻痹！光棍一辈子吧！,angry,usual
有哪个领导会在夜晚22：00询问工作？？有的！那就是著名的更年期领导让人家下班以后情绪都是忽高忽低的，不管了，睡觉,angry,usual
